,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,30,0.00015971899032592773,48,0.0023224902153015136,48,0.04315622329711914,48,0.04265717267990112,48
1,0.2,30,0.0003791093826293945,44,0.0017892980575561523,44,0.023268945217132568,44,0.023341541290283204,44
2,0.3,30,0.0005296134948730469,30,0.0011693859100341797,30,0.009743547439575196,30,0.010164659023284912,30
3,0.4,30,0.000339818000793457,4,0.00022984743118286132,4,0.0016097211837768554,4,0.0016188669204711915,4
4,0.5,30,6.995916366577149e-05,0,0.00010013341903686524,0,0.00010969877243041993,0,8.944749832153321e-05,0
5,0.6,30,5.000591278076172e-05,0,5.981922149658203e-05,0,5.033731460571289e-05,0,8.029699325561524e-05,0
6,0.7,30,3.980875015258789e-05,0,5.0334930419921876e-05,0,4.9784183502197266e-05,0,3.0002593994140626e-05,0
7,0.8,30,4.048824310302734e-05,0,1.9807815551757812e-05,0,3.9784908294677735e-05,0,3.9598941802978516e-05,0
8,0.9,30,8.025884628295898e-05,0,0.0,0,0.0,0,1.9803047180175782e-05,0
