,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,20,0.00014980316162109376,48,0.0018689250946044922,48,0.012527992725372314,48,0.01465651273727417,48
1,0.2,20,0.0001999044418334961,41,0.0009394288063049316,41,0.008375341892242432,41,0.007985293865203857,41
2,0.3,20,0.0004096269607543945,31,0.0006497907638549805,31,0.004417457580566406,31,0.0042426204681396485,31
3,0.4,20,0.00026980876922607424,5,0.0001699185371398926,5,0.0013293385505676269,5,0.0012692523002624512,5
4,0.5,20,4.999399185180664e-05,0,1.9974708557128907e-05,0,0.00011994361877441406,0,0.00010992050170898438,0
5,0.6,20,1.9981861114501954e-05,0,2.9985904693603515e-05,0,1.9986629486083984e-05,0,6.994009017944336e-05,0
6,0.7,20,9.996891021728516e-06,0,1.9984245300292967e-05,0,4.9979686737060546e-05,0,9.987354278564453e-06,0
7,0.8,20,2.9985904693603515e-05,0,9.9945068359375e-06,0,1.999855041503906e-05,0,9.992122650146484e-06,0
8,0.9,20,0.0,0,1.9986629486083984e-05,0,1.9955635070800782e-05,0,1.9991397857666014e-05,0
