,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,200,0.1186670462290446,3,0.15262341499328613,3,104.1565371354421,3,106.93178447087605,3
1,0.2,200,0.10488589604695638,2,0.0003331502278645833,3,56.95279415448507,2,54.99978478749593,2
2,0.3,200,3.369394540786743,2,0.0023322105407714844,3,37.61462648709615,2,37.921062072118126,2
3,0.4,200,0.011327187220255533,0,0.0013326009114583333,3,0.0696268876393636,0,0.079620361328125,0
4,0.5,200,0.0016660690307617188,0,0.0013328393300374348,3,0.0,0,0.0003329912821451823,0
5,0.6,200,0.000999132792154948,0,0.0016663869222005208,3,0.0,0,0.00033322970072428387,0
6,0.7,200,0.004333972930908203,0,0.006326595942179362,3,0.0006667772928873698,0,0.0,0
7,0.8,200,0.0029976367950439453,0,0.0026650428771972656,3,0.0003331502278645833,0,0.0003329912821451823,0
8,0.9,200,0.0023314952850341797,0,0.001332680384318034,3,0.0003331502278645833,0,0.0003331502278645833,0
