,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,50,0.0,3,0.016665935516357422,3,0.3833102385203044,3,0.38997642199198407,3
1,0.2,50,0.04999661445617676,1,0.0,3,0.1933276653289795,1,0.17332235972086588,1
2,0.3,50,0.01666537920633952,1,0.0,3,0.10332059860229492,1,0.1133275826772054,1
3,0.4,50,0.0,0,0.0,3,0.0,0,0.0,0
4,0.5,50,0.0,0,0.0,3,0.0,0,0.0,0
5,0.6,50,0.0,0,0.0,3,0.0,0,0.0,0
6,0.7,50,0.0,0,0.0,3,0.0,0,0.0,0
7,0.8,50,0.0,0,0.0,3,0.0,0,0.0,0
8,0.9,50,0.0,0,0.0,3,0.0,0,0.0,0
