,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,40,0.00028962135314941406,48,0.0045045256614685055,48,0.10045066833496094,48,0.10114438772201538,48
1,0.2,40,0.0005396413803100586,39,0.0028178763389587404,39,0.05572564601898193,39,0.05469339370727539,39
2,0.3,40,0.000898888111114502,29,0.0019340920448303223,29,0.024757587909698488,29,0.02523153305053711,29
3,0.4,40,0.0007392072677612305,2,0.0004910039901733399,2,0.005214512348175049,2,0.005011715888977051,2
4,0.5,40,5.029439926147461e-05,0,5.9919357299804686e-05,0,0.00012959957122802735,0,0.00011988639831542968,0
5,0.6,40,9.059906005859375e-05,0,5.021333694458008e-05,0,4.979372024536133e-05,0,5.9435367584228514e-05,0
6,0.7,40,7.985830307006836e-05,0,6.01506233215332e-05,0,3.0317306518554687e-05,0,4.012107849121094e-05,0
7,0.8,40,7.975101470947266e-05,0,7.982015609741211e-05,0,4.9920082092285155e-05,0,2.0344257354736328e-05,0
8,0.9,40,9.029150009155273e-05,0,4.032611846923828e-05,0,9.996891021728516e-06,0,1.0175704956054687e-05,0
