,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,200,0.010000467300415039,3,0.18665401140848795,3,106.28606096903484,3,106.52283962567647,3
1,0.2,200,8.019517183303833,2,0.0,3,66.13275305430095,2,65.01912887891133,2
2,0.3,200,0.3299732208251953,3,0.006665229797363281,3,27.0484299659729,3,27.58997384707133,3
3,0.4,200,0.22998611132303873,0,0.003339052200317383,3,2.9031596978505454,0,2.916491429011027,0
4,0.5,200,0.0033387343088785806,0,0.0,3,0.0,0,0.0,0
5,0.6,200,0.0,0,0.0,3,0.0,0,0.0,0
6,0.7,200,0.0,0,0.0,3,0.0,0,0.0,0
7,0.8,200,0.006666103998819987,0,0.0,3,0.0,0,0.0,0
8,0.9,200,0.0,0,0.0,3,0.0,0,0.0,0
