,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,100,0.006671349207560222,3,0.04665811856587728,3,5.5291113058726,3,5.360534191131592,3
1,0.2,100,0.004002730051676433,3,0.0003333091735839844,3,3.449558893839518,3,3.5650298595428467,3
2,0.3,100,0.018656094868977863,2,0.00033394495646158856,3,1.0037514368693035,2,1.005820592244466,2
3,0.4,100,0.007329543431599935,1,0.00033322970072428387,3,0.21221176783243814,1,0.20255597432454428,1
4,0.5,100,0.0006666183471679688,0,0.00033322970072428387,3,0.0003333091735839844,0,0.0,0
5,0.6,100,0.00033322970072428387,0,0.00033283233642578125,3,0.0,0,0.0,0
6,0.7,100,0.0,0,0.0006663004557291666,3,0.0,0,0.0,0
7,0.8,100,0.0,0,0.0006666978200276693,3,0.00033346811930338543,0,0.0,0
8,0.9,100,0.0,0,0.0009999275207519531,3,0.0,0,0.0,0
