,p,dim,dfs_success,dfs_probability,bfs_success,bfs_probability,e_astar_success,e_astar_probability,m_astar_success,m_astar_probability
0,0.3,160,79,0.5266666666666666,79,0.5266666666666666,79,0.5266666666666666,79,0.5266666666666666
1,0.4,160,2,0.013333333333333334,2,0.013333333333333334,2,0.013333333333333334,2,0.013333333333333334
2,0.5,160,0,0.0,0,0.0,0,0.0,0,0.0
3,0.6,160,0,0.0,0,0.0,0,0.0,0,0.0
4,0.7,160,0,0.0,0,0.0,0,0.0,0,0.0
5,0.8,160,0,0.0,0,0.0,0,0.0,0,0.0
6,0.9,160,0,0.0,0,0.0,0,0.0,0,0.0
