,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,160,0.002665122,0.98,0.134829044,0.98,55.90803758,0.98,50.6858178,0.98
1,0.2,160,0.003997008,0.87,0.000999053,0.87,25.89326509,0.87,27.19147905,0.87
2,0.3,160,1.766399463,0.3,0.00066638,0.3,9.264351209,0.3,10.22875921,0.3
3,0.4,160,0.001330217,0,0.000999451,0,0.000666459,0,0.000998974,0
4,0.5,160,0.001333237,0,0.001331806,0,0,0,0.00033323,0
5,0.6,160,0.000667731,0,0.001005014,0,0.000333627,0,0,0
6,0.7,160,0.00099802,0,0.000999292,0,0.00033323,0,0.000333548,0
7,0.8,160,0.00066638,0,0.00299859,0,0.000333071,0,0,0
8,0.9,160,0,0,0,0,0,0,0,0
