,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,50,0.076661746,0.9,0.029996157,0.9,1.213506937,0.9,1.244611581,0.9
1,0.2,50,0.046670039,0.7,0.023312887,0.7,0.63997968,0.7,0.6466163,0.7
2,0.3,50,0.019998471,0.55,0.016680241,0.55,0.269964059,0.55,0.273322344,0.55
3,0.4,50,0.006660382,0,0.010005474,0,0.049996217,0,0.053330898,0
4,0.5,50,0,0,0,0,0,0,0,0
5,0.6,50,0,0,0,0,0.003333171,0,0,0
6,0.7,50,0,0,0,0,0,0,0,0
7,0.8,50,0,0,0,0,0,0,0,0
8,0.9,50,0,0,0,0,0,0,0,0
