,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,180,0.066663186,0.99,0.154451529,0.99,61.67364073,0.99,62.46223489,0.99
1,0.2,180,0.003333489,0.68,0,0.68,26.45722103,0.68,25.99180293,0.68
2,0.3,180,2.544754823,0.4,0.003326734,0.4,16.14999827,0.4,15.63708297,0.4
3,0.4,180,0,0,0,0,0,0,0,0
4,0.5,180,0,0,0,0,0,0,0,0
5,0.6,180,0,0,0.003326813,0,0,0,0,0
6,0.7,180,0.003333648,0,0,0,0,0,0,0
7,0.8,180,0.003333886,0,0,0,0,0,0,0
8,0.9,180,0,0,0,0,0,0,0.003333489,0
