,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,20,0.000149803,0.96,0.001868925,0.96,0.012527993,0.96,0.014656513,0.96
1,0.2,20,0.000199904,0.82,0.000939429,0.82,0.008375342,0.82,0.007985294,0.82
2,0.3,20,0.000409627,0.62,0.000649791,0.62,0.004417458,0.62,0.00424262,0.62
3,0.4,20,0.000269809,0.1,0.000169919,0.1,0.001329339,0.1,0.001269252,0.1
4,0.5,20,5.00E-05,0,2.00E-05,0,0.000119944,0,0.000109921,0
5,0.6,20,2.00E-05,0,3.00E-05,0,2.00E-05,0,6.99E-05,0
6,0.7,20,1.00E-05,0,2.00E-05,0,5.00E-05,0,9.99E-06,0
7,0.8,20,3.00E-05,0,9.99E-06,0,2.00E-05,0,9.99E-06,0
8,0.9,20,0,0,2.00E-05,0,2.00E-05,0,2.00E-05,0
