,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,150,0.050995747,0.98,0.165062984,0.98,26.03709324,0.98,25.92686454,0.98
1,0.2,150,0.005334377,0.71,0.000665824,0.71,11.51001922,0.71,11.3077964,0.71
2,0.3,150,1.370230357,0.4,0.000667016,0.4,6.793505907,0.4,6.98872145,0.4
3,0.4,150,0.106659174,0,0,0,0.986608505,0,0.983273983,0
4,0.5,150,0.003332456,0,0.003333489,0,0,0,0,0
5,0.6,150,0,0,0,0,0,0,0,0
6,0.7,150,0,0,0,0,0,0,0,0
7,0.8,150,0,0,0.003333171,0,0,0,0,0
8,0.9,150,0,0,0,0,0,0,0,0
