,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,25,0.000249922,0.92,0.001779099,0.92,0.022705014,0.92,0.023392711,0.92
1,0.2,25,0.000179756,0.88,0.001329811,0.88,0.013641911,0.88,0.01346226,0.88
2,0.3,25,0.000590363,0.42,0.000649221,0.42,0.006076825,0.42,0.005996177,0.42
3,0.4,25,0.000298867,0,7.99E-05,0,0.000819724,0,0.000770211,0
4,0.5,25,0.000100422,0,1.98E-05,0,0.000139914,0,0.000179553,0
5,0.6,25,4.01E-05,0,4.03E-05,0,8.97E-05,0,3.97E-05,0
6,0.7,25,9.99E-06,0,6.02E-05,0,4.02E-05,0,0,0
7,0.8,25,4.02E-05,0,1.98E-05,0,3.00E-05,0,2.00E-05,0
8,0.9,25,1.98E-05,0,2.00E-05,0,2.00E-05,0,0,0
