,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,30,0.000159719,0.96,0.00232249,0.96,0.043156223,0.96,0.042657173,0.96
1,0.2,30,0.000379109,0.88,0.001789298,0.88,0.023268945,0.88,0.023341541,0.88
2,0.3,30,0.000529613,0.6,0.001169386,0.6,0.009743547,0.6,0.010164659,0.6
3,0.4,30,0.000339818,0.08,0.000229847,0.08,0.001609721,0.08,0.001618867,0.08
4,0.5,30,7.00E-05,0,0.000100133,0,0.000109699,0,8.94E-05,0
5,0.6,30,5.00E-05,0,5.98E-05,0,5.03E-05,0,8.03E-05,0
6,0.7,30,3.98E-05,0,5.03E-05,0,4.98E-05,0,3.00E-05,0
7,0.8,30,4.05E-05,0,1.98E-05,0,3.98E-05,0,3.96E-05,0
8,0.9,30,8.03E-05,0,0,0,0,0,1.98E-05,0
