,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,200,0.118667046,0.9,0.152623415,0.9,104.1565371,0.9,106.9317845,0.9
1,0.2,200,0.104885896,0.71,0.00033315,0.71,56.95279415,0.71,54.99978479,0.71
2,0.3,200,3.369394541,0.58,0.002332211,0.58,37.61462649,0.58,37.92106207,0.58
3,0.4,200,0.011327187,0,0.001332601,0,0.069626888,0,0.079620361,0
4,0.5,200,0.001666069,0,0.001332839,0,0,0,0.000332991,0
5,0.6,200,0.000999133,0,0.001666387,0,0,0,0.00033323,0
6,0.7,200,0.004333973,0,0.006326596,0,0.000666777,0,0,0
7,0.8,200,0.002997637,0,0.002665043,0,0.00033315,0,0.000332991,0
8,0.9,200,0.002331495,0,0.00133268,0,0.00033315,0,0.00033315,0
